"first_name","last_name","games","starts","minutes","points","two_points_made","two_points_attempted","three_points_made","three_points_attempted","free_throws_made","free_throws_attempted","blocked_shot_attempts","offensive_rebounds","defensive_rebounds","assists","screen_assists","turnovers","steals","deflections","loose_balls_recovered","blocked_shots","personal_fouls","personal_fouls_drawn","charges_drawn","technical_fouls","flagrant_fouls","possessions","team_possessions","age","nba"
"dwayne","augustin",4,4,114.8,45,12,25,6,14,3,4,2,6,15,4,0,5,4,0,0,1,7,3,0,0,0,210.8376,734.6112,28,0
"e'twaun","ken",10,5,234,85,6,18,20,46,13,16,0,5,15,48,0,12,6,0,0,0,8,23,0,0,0,429.3492,1614.6464,38,0
"edney","matthew",4,0,42.64,17,8,13,0,0,1,3,0,4,9,2,0,6,1,0,0,1,10,7,0,0,0,76.8278,2171.124,29,0
"edo","beliauskas",28,16,400.21,98,22,40,14,44,12,16,2,21,69,9,0,9,8,0,0,4,23,21,0,0,0,698.1031,2101.9355,31,0
"edwin","holman",16,4,253.26,93,27,45,11,32,6,8,1,14,18,10,0,9,4,0,0,2,28,8,0,0,0,434.3243,1097.9833,27,0
"efthimios","laprovittola",10,9,297.47,152,56,98,8,29,16,21,5,11,39,45,0,20,18,0,0,0,29,27,0,0,0,562.6458,756.5749,26,0
"ehigiator","cordinier",21,21,627,201,61,140,10,49,49,59,7,18,49,68,0,43,26,0,0,1,32,68,0,0,0,1131.6003,1660.4023,36,0
"eidan","bess",22,21,585.23,316,26,55,77,175,33,37,4,11,57,8,0,30,20,0,0,12,49,19,0,0,0,1071.8034,1703.1717,29,0
"eimantas","mosley",11,11,305.58,215,55,96,21,40,42,52,5,3,27,31,0,30,6,0,0,0,20,47,0,0,0,564.6575,896.1938,35,0
"ekpe","toupane",30,30,604.04,298,112,162,0,0,74,110,11,50,84,15,0,30,13,0,0,26,57,109,0,0,0,1087.704,2187.887,30,1
"eldridge","robinson",59,21,1026.99,607,95,185,87,203,156,192,16,32,116,130,0,84,44,0,0,4,121,167,0,0,0,1771.8359,4162.149,27,0
"elegar","mckinnie",18,18,622.86,248,54,128,22,88,74,92,10,18,60,104,0,66,33,0,0,2,48,110,0,0,0,1137.8037,1315.2387,28,0
"elias","goudelock",7,7,185.5,119,43,83,6,11,15,18,4,15,46,8,0,9,3,0,0,4,11,24,0,0,0,359.1829,784.1418,31,0
"elijah","byars",2,0,2.85,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,4.9084,1661.9886,18,1
"elton","bagaric",13,4,302,174,35,79,28,70,20,33,4,18,34,17,0,32,20,0,0,4,33,37,0,0,0,556.1428,2614.9759,36,0
"emmanuel","berhanemeskel",8,2,171.94,88,21,46,10,25,16,19,6,8,18,27,0,26,6,0,0,3,17,24,0,0,0,306.9952,1365.9056,24,0
"emmett","kaman",18,8,291.28,91,33,64,2,2,19,28,6,18,33,7,0,15,10,0,0,14,51,31,0,0,0,518.8646,2360.2606,37,0
"erkan","brizuela",27,16,629.13,278,118,199,0,4,42,59,7,77,98,36,0,26,14,0,0,10,57,63,0,0,0,1142.1397,2114.9654,34,0
"evan","doyle",50,20,1072.36,550,165,300,42,117,94,125,8,69,161,27,0,71,45,0,0,52,131,122,0,0,0,1910.1478,3591.7149,20,1
"fab","zakharov",55,8,859.39,315,55,141,55,145,40,47,4,11,57,133,0,61,28,0,0,2,121,46,0,0,0,1486.1793,5102.0616,37,0
"fabien","jeter",18,8,371.9,170,30,80,26,68,32,36,11,6,17,46,0,26,15,0,0,1,43,34,0,0,0,661.1852,3722.2186,27,0
"falk","winston",64,19,1461.8,852,201,376,107,293,129,170,23,52,145,111,0,96,47,0,0,21,109,167,0,0,0,2625.5034,4614.3381,27,0
"federico","zhbanov",6,0,75.5,30,5,11,6,17,2,3,0,5,8,1,0,2,0,0,0,1,9,4,0,0,0,136.5942,4666.7672,28,0
"felix","ricci",6,5,165.19,90,7,22,19,41,19,24,1,3,9,18,0,17,2,0,0,1,13,25,0,0,0,286.8943,696.4417,25,0
"felton","cattapan",3,3,86.45,33,8,21,4,7,5,6,4,0,19,3,0,6,0,0,0,1,8,6,0,0,0,147.6306,691.6252,25,0
"filipovity","tavares",39,39,1012,439,185,297,0,0,69,134,14,145,251,23,0,89,26,0,0,28,107,145,0,0,0,1913.3627,2987.2659,27,0
"fitch","cancar",16,6,367,140,48,89,8,38,20,21,3,14,36,30,0,28,13,0,0,2,34,19,0,0,0,662.8796,2203.5781,26,0
"fitipaldo","galli",39,39,1015.21,543,107,213,85,252,74,98,10,49,200,103,0,80,37,0,0,9,97,75,0,0,0,1854.5951,2950.8991,29,0
"flaccadori","david",12,4,298.14,154,58,107,0,5,38,55,7,18,20,20,0,14,11,0,0,1,29,51,0,0,0,532.4512,1285.8658,28,0
"fletcher","kravic",65,39,1431.58,493,225,364,0,11,43,75,9,166,238,82,0,42,59,0,0,32,134,76,0,0,0,2478.8446,4606.693,34,0
"flores","warney",10,0,68.85,19,8,13,0,6,3,5,1,4,11,4,0,1,1,0,0,2,12,5,0,0,0,125.6329,4389.9309,34,0
"font","vlade",6,0,60.56,2,1,5,0,2,0,0,1,5,6,9,0,10,2,0,0,0,9,5,0,0,0,112.3969,5360.4987,40,0
"frankamp","craft",8,2,119.13,55,19,26,4,16,5,8,2,6,16,5,0,10,7,0,0,4,18,5,0,0,0,213.5025,1146.9922,18,1
"freddie","franks",1,0,16.37,9,4,5,0,0,1,1,0,2,1,1,0,1,0,0,0,1,3,2,0,0,0,30.2136,738.2516,30,0
"freije","trent",15,6,269.97,80,22,58,8,28,12,15,5,7,52,34,0,25,14,0,0,4,33,14,0,0,0,483.8351,1146.9922,24,0
"fridzon","kaimakoglou",18,4,403.91,190,19,41,40,89,32,40,2,6,56,37,0,18,12,0,0,10,25,29,0,0,0,721.1728,1365.9056,33,0
"gabe","bennett",17,16,404.2,228,95,173,1,5,35,50,8,23,47,17,0,24,7,0,0,8,30,44,0,0,0,704.2639,1540.2368,35,0
"gabriel","moraschini",45,27,1114.08,584,114,229,86,248,98,109,12,15,91,233,0,104,36,0,0,5,101,143,0,0,0,1977.9824,3722.2186,34,0
"garino","cinciarini",24,21,735.27,355,102,184,28,94,67,82,13,11,46,45,0,45,13,0,0,10,43,79,0,0,0,1266.4767,1653.5525,25,1
"garth","holt",4,2,74.34,25,6,19,4,8,1,3,4,3,14,7,0,4,3,0,0,0,8,8,0,0,0,140.564,3035.1153,28,0
"garuba","jefferies",16,1,223,82,14,41,16,47,6,6,5,5,13,28,0,15,8,0,0,0,19,16,0,0,0,410.6238,2679.1824,30,0
"gary","mitrovic",12,11,202,92,43,72,0,0,6,16,3,25,24,4,0,5,5,0,0,2,29,19,0,0,0,368.4272,2115.7204,31,0
"gazi","noel",5,5,133.63,45,13,29,5,16,4,8,3,2,18,35,0,6,2,0,0,0,11,13,0,0,0,242.789,1180.9544,30,0
"gee","ahearn",47,14,1143.06,582,232,438,14,61,76,134,11,97,189,92,0,78,47,0,0,23,83,111,0,0,0,2027.9011,3629.4119,31,0
"gene","freeman",19,16,245.7,75,31,50,0,0,13,16,5,29,38,11,0,13,4,0,0,4,34,16,0,0,0,427.7814,2124.1148,30,0
"gerald","zubac",4,3,77.31,28,6,19,4,11,4,4,0,3,10,3,0,5,2,0,0,3,11,5,0,0,0,140.0394,2182.7268,25,0
"gerard","albicy",9,6,201.44,121,26,64,14,43,27,37,3,3,9,17,0,21,15,0,0,0,27,31,0,0,0,357.9201,2425.3316,28,0
"gerun","mulder",19,17,529,256,67,137,26,79,44,65,5,18,56,21,0,38,19,0,0,4,40,58,0,0,0,977.1198,1708.5742,30,0
"gianmarco","law",11,4,203.74,84,33,61,1,3,15,26,2,15,41,10,0,16,9,0,0,5,30,21,0,0,0,363.8236,1142.8748,29,0
"giannoulis","cournooh",16,0,159.61,54,22,40,0,1,10,15,3,20,16,5,0,9,1,0,0,14,30,12,0,0,0,289.4602,2575.244,26,0
"giedraitis","virginio",3,1,66.93,36,11,24,2,8,8,11,1,3,10,2,0,5,1,0,0,3,4,12,0,0,0,108.2421,388.1352,23,1
"giricek","grantham",34,31,917,417,136,259,29,90,58,76,7,19,84,26,0,58,24,0,0,17,86,73,0,0,0,1642.9425,2535.1839,26,0
"gladness","alston",18,14,437.25,192,27,67,39,100,21,26,6,10,45,33,0,25,9,0,0,2,36,25,0,0,0,775.1979,3591.7149,35,0
"gobert","vonleh",13,10,261.86,77,25,60,3,14,18,29,6,15,35,50,0,30,11,0,0,0,35,37,0,0,0,467.9944,1161.6719,28,0
"gortat","henderson",28,15,627.68,233,44,82,44,102,13,14,2,20,75,36,0,30,21,0,0,8,86,28,0,0,0,1071.5783,2065.7281,33,0
"grant","joe",26,14,556.43,324,146,244,0,1,32,55,10,64,75,56,0,62,33,0,0,13,70,71,0,0,0,948.4371,2002.8126,35,0
"grayson","n'doye",17,9,360.23,158,22,53,20,73,54,63,2,4,21,88,0,39,16,0,0,0,42,56,0,0,0,648.5254,2142.3753,30,0
"griffin","moiso",30,19,814.19,366,66,127,62,151,48,54,5,7,75,61,0,45,18,0,0,13,87,54,0,0,0,1432.5882,2129.0437,27,0
"guduric","drake",10,10,320.05,93,33,53,6,12,9,12,0,8,38,20,0,22,6,0,0,5,21,18,0,0,0,565.2951,3138.0121,34,0
"guerra","henry",6,0,50.93,26,8,18,0,0,10,14,1,9,8,3,0,2,0,0,0,0,5,9,0,0,0,88.2209,1680.2299,34,0
"guerrero","gaddy",22,20,544.8,220,74,176,8,47,48,64,10,26,65,76,0,42,20,0,0,4,46,62,0,0,0,944.1869,1542.4666,34,0
"guido","bouquet",27,8,487.9,257,36,81,43,122,56,64,5,3,45,55,0,34,14,0,0,1,47,65,0,0,0,868.4233,3722.2186,29,0
"guillermo","ashley",1,1,37.43,34,8,15,3,4,9,10,0,0,5,5,0,1,1,0,0,0,3,8,0,0,0,65.1605,844.3259,30,0
"guyton","clavell",3,1,15.48,7,3,5,0,0,1,2,0,1,0,0,0,2,1,0,0,1,4,4,0,0,0,27.2375,2129.0437,28,0
"hadi","jokic",25,17,429.09,140,40,83,12,48,24,38,6,17,47,28,0,22,14,0,0,7,64,38,0,0,0,755.0876,1909.3479,33,0
"haislip","hobson",10,8,171.8,90,34,59,4,15,10,19,2,4,20,4,0,18,3,0,0,3,28,24,0,0,0,286.8081,1071.29,33,0
"halilovic","mcdaniels",7,3,163.18,55,13,28,7,18,8,13,1,2,12,28,0,10,4,0,0,0,16,12,0,0,0,286.672,1147.18,30,0
"hansen","haliburton",6,2,140.42,53,10,30,9,25,6,6,1,0,13,8,0,7,3,0,0,1,16,8,0,0,0,245.4067,419.4459,28,0
"harper","jovic",4,0,29.17,10,3,8,1,6,1,1,0,0,3,1,0,4,2,0,0,0,3,4,0,0,0,49.5001,3480.0787,26,0
"harris","melton",24,7,345.9,97,38,77,0,1,21,38,13,28,50,18,0,37,3,0,0,7,55,52,0,0,0,587.0947,2342.299,32,0
"hasheem","della",23,5,208.83,71,12,30,7,22,26,31,3,21,25,10,0,4,3,0,0,1,31,20,0,0,0,382.1561,2232.5655,25,0
"haukur","iguodala",9,3,224.23,45,21,47,0,0,3,5,5,9,20,38,0,10,8,0,0,1,13,21,0,0,0,395.0493,1409.4468,32,0
"hawkins","chessa",33,32,975.67,260,92,167,14,50,34,42,7,30,110,197,0,74,77,0,0,1,88,81,0,0,0,1766.9623,2904.9223,29,0
"haywood","porter",20,5,297.36,107,25,43,17,43,6,8,3,21,41,10,0,4,4,0,0,4,20,8,0,0,0,533.0482,5626.0351,29,0
"henton","walkup",6,6,175.25,73,10,25,13,31,14,15,0,2,8,30,0,12,7,0,0,0,10,14,0,0,0,306.9845,420.4102,34,0
"hermannsson","savovic",3,1,73.67,26,3,8,5,14,5,7,1,3,11,6,0,4,2,0,0,0,3,4,0,0,0,142.5641,1238.5018,30,0
"hernangomez","filloy",34,20,805.6,329,73,140,34,95,81,113,7,58,137,19,0,46,28,0,0,9,44,100,0,0,0,1448.4919,2463.2992,21,1
"heurtel","yi",36,8,745.3,237,44,100,37,126,38,51,3,23,89,37,0,33,42,0,0,9,54,66,0,0,0,1354.3016,3648.5692,35,0
"hodzic","mccoy",25,7,491.37,255,51,92,43,84,24,31,11,17,65,23,0,25,8,0,0,20,78,44,0,0,0,867.2669,3742.5621,29,0
"hopson","kaba",11,9,212.39,94,23,43,6,13,30,44,2,13,45,13,0,9,12,0,0,13,23,38,0,0,0,382.4539,2187.887,34,0
"horton","joseph",30,1,592.25,287,100,155,16,39,39,55,10,50,87,22,0,32,20,0,0,28,90,52,0,0,0,1042.0791,2129.0437,25,1
"hugo","jeremic",22,22,765,361,117,240,29,62,40,51,17,7,67,62,0,84,25,0,0,1,61,64,0,0,0,1396.5946,2218.1208,29,0
"huskic","khryapa",20,18,417.76,141,41,68,13,40,20,24,2,31,40,33,0,15,21,0,0,1,40,37,0,0,0,731.6829,1479.9661,28,0
"iannicelli","roberson",34,21,780.83,376,63,125,60,182,70,81,4,14,90,79,0,67,20,0,0,6,90,68,0,0,0,1402.0626,2459.9292,26,0
"ibaka","windler",17,4,285.92,112,34,77,6,34,26,32,3,6,26,43,0,32,15,0,0,1,50,38,0,0,0,508.1848,2443.8728,31,0
"ibrahim","goodwin",4,0,58.87,30,10,17,1,2,7,11,1,3,9,2,0,3,3,0,0,3,8,7,0,0,0,107.8506,751.1069,32,0
"immanuel","kuzma",14,13,210.73,93,27,55,4,14,27,44,6,14,31,5,0,18,3,0,0,4,28,44,0,0,0,367.7182,1116.7793,30,0
"jacobsen","gamble",13,0,135,21,9,14,0,1,3,4,1,15,25,4,0,2,7,0,0,3,32,11,0,0,0,257.4057,2316.6513,37,0
"jae'sean","pelos",25,3,364.37,82,14,38,13,49,15,21,3,8,31,29,0,27,10,0,0,0,59,32,0,0,0,671.0494,4494.4965,28,0
"jahlil","snyder",19,14,514.36,225,64,113,19,44,40,51,11,47,68,29,0,37,19,0,0,28,59,56,0,0,0,924.9086,2454.5394,28,0
"jake","oliver",6,4,103.92,43,18,32,0,0,7,10,0,8,20,1,0,10,2,0,0,5,18,13,0,0,0,184.2831,461.0624,31,0
"jakeenan","gerun",10,3,231.43,89,35,67,0,3,19,30,2,19,44,17,0,15,4,0,0,1,22,24,0,0,0,416.2152,719.3726,27,1
"jakovics","ferrando",16,15,372.59,172,64,101,0,0,44,55,2,40,82,14,0,28,5,0,0,25,51,55,0,0,0,626.21,1084.0514,20,1
"jaleel","ollie",29,3,454,208,84,125,0,0,40,55,7,64,99,8,0,28,9,0,0,60,83,42,0,0,0,831.2765,2215.5166,24,1
"jamaal","kersey",11,0,252.34,168,27,56,31,83,21,27,9,1,11,34,0,21,7,0,0,2,19,29,0,0,0,472.9769,1199.5964,30,0
"james","bey",28,14,663.43,313,80,136,36,85,45,55,11,26,105,48,0,21,21,0,0,11,69,50,0,0,0,1195.3533,2171.124,33,0
"jamie","burns",12,1,177,73,30,51,0,1,13,15,2,14,38,0,0,10,7,0,0,24,22,13,0,0,0,319.1925,4455.108,23,0
"jamychal","benson",4,3,86.26,20,6,14,1,8,5,5,1,0,15,3,0,3,4,0,0,1,6,3,0,0,0,156.1335,2461.6567,33,0
"jankovic","preston",28,22,524.95,267,115,178,4,16,25,27,6,46,73,11,0,26,14,0,0,14,40,41,0,0,0,915.6923,2101.9355,31,0
"jaroslaw","rupnik",12,7,254.47,93,37,81,0,0,19,23,6,20,52,5,0,10,5,0,0,9,15,21,0,0,0,434.9128,828.9201,36,0
"jarrett","ratliff",13,13,372,110,22,53,20,60,6,10,5,2,30,65,0,37,4,0,0,0,26,16,0,0,0,670.0166,2179.3551,31,0
"jarrid","mcadoo",4,0,14.5,5,2,4,0,2,1,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,25.7594,2433.0977,30,0
"jarvis","frisby",14,10,354.93,181,63,110,3,9,46,62,7,8,18,51,0,36,17,0,0,2,28,44,0,0,0,656.3013,3038.3748,29,0
"jawai","doornekamp",4,3,79.47,14,3,7,2,10,2,6,1,2,12,5,0,8,4,0,0,0,9,4,0,0,0,147.4517,1651.3739,32,0
"jawun","pons",10,1,59.38,14,4,8,2,7,0,0,1,0,6,2,0,4,7,0,0,2,16,1,0,0,0,108.0138,5163.4205,20,1
"jaycee","kazemi",2,1,46.18,16,2,4,4,10,0,0,2,1,6,0,0,5,5,0,0,2,4,2,0,0,0,79.9763,1948.3137,25,0
"jefferson","christie",6,3,134.17,50,7,12,10,24,6,8,0,1,16,6,0,6,4,0,0,0,17,4,0,0,0,251.3096,449.5364,31,0
"jemerrio","vildera",11,1,253,135,33,71,14,45,27,29,8,6,18,21,0,13,7,0,0,0,12,29,0,0,0,447.2954,2651.9491,26,0
"jeremiah","evans",14,14,277,72,13,28,13,48,7,8,2,8,42,5,0,10,6,0,0,5,29,12,0,0,0,499.9408,2570.0927,26,0
"jermaine","withey",5,1,48.87,6,1,5,1,3,1,2,0,2,3,3,0,6,0,0,0,0,6,4,0,0,0,84.3018,417.4587,30,0
"jermareo","valiev",54,15,804.79,336,44,114,65,184,53,60,4,11,49,95,0,51,21,0,0,0,61,82,0,0,0,1457.5924,5163.4205,38,0
"jimmer","delgado",6,5,169,72,19,37,8,35,10,14,5,10,20,21,0,22,15,0,0,0,13,16,0,0,0,316.5344,2575.3541,26,0
"jj","hollins",20,19,534.6,291,112,205,2,6,61,70,13,56,99,22,0,38,11,0,0,16,72,74,0,0,0,928.6396,2371.102,23,1
"joakim","leaf",19,15,455.99,177,70,152,2,15,31,38,4,27,68,15,0,25,7,0,0,9,35,39,0,0,0,814.1605,1365.9056,30,0
"joaquim","elizabeth",29,28,883.16,598,129,250,57,134,169,182,12,7,77,93,0,86,17,0,0,0,71,145,0,0,0,1654.1757,2577.2296,34,0
"joel","bogut",51,41,1605.67,864,212,418,108,295,116,176,23,88,229,60,0,84,24,0,0,32,115,190,0,0,0,2713.7747,3480.0787,27,1
"joey","siler",7,3,129.26,25,9,23,1,6,4,7,1,0,7,32,0,11,4,0,0,0,15,9,0,0,0,231.6573,1146.9922,25,0
"joffrey","simon",28,9,653,263,110,204,6,22,25,45,6,47,116,18,0,40,35,0,0,37,74,56,0,0,0,1210.9066,2253.0651,32,0
"johan","guduric",34,29,769.09,352,89,185,35,121,69,100,19,27,86,60,0,66,36,0,0,5,67,127,0,0,0,1398.2463,3648.5692,30,0
"jordan","sehovic",17,0,360.97,156,29,63,26,53,20,23,3,16,76,30,0,26,19,0,0,12,26,28,0,0,0,627.2133,2363.112,28,0
"jorge","carr",10,3,166.57,63,13,23,9,17,10,16,4,8,21,9,0,8,6,0,0,6,24,18,0,0,0,306.508,1048.8326,24,1
"juan carlos","gaines",13,10,330.41,126,30,54,13,36,27,30,0,8,30,15,0,9,5,0,0,10,28,28,0,0,0,580.3732,1124.1755,34,0
"juan pablo","lillard",6,6,225.72,95,22,50,5,15,36,44,1,9,31,31,0,28,10,0,0,4,10,44,0,0,0,411.2026,728.6878,24,0
"jumaine","avdija",57,57,1783.86,906,274,486,62,182,172,233,31,101,232,163,0,149,64,0,0,23,142,275,0,0,0,3146.7201,4338.0147,29,0
"justise","atias",25,25,715.41,306,92,174,22,74,56,57,14,14,43,200,0,92,25,0,0,0,50,78,0,0,0,1274.1229,1995.7786,37,0
"kadeem","levert",8,8,235.38,89,21,43,8,30,23,28,1,2,20,14,0,13,13,0,0,2,19,36,0,0,0,420.9866,715.4197,32,0
"kadoshnikov","christmas",53,10,877.62,284,37,72,63,155,21,27,5,28,85,26,0,22,30,0,0,8,99,40,0,0,0,1609.795,4489.7492,27,0
"kahlil","melo",3,0,43.18,19,5,10,2,7,3,4,0,0,2,2,0,1,0,0,0,0,2,5,0,0,0,77.0048,1283.9971,31,0
"kahudi","vincent",6,0,103.14,34,15,23,0,1,4,11,2,10,19,3,0,4,1,0,0,2,14,10,0,0,0,189.3197,1762.1489,31,0
"kaiser","stockton",28,15,653.67,286,58,93,43,102,41,49,2,20,96,52,0,36,31,0,0,3,54,55,0,0,0,1207.9705,2217.5675,27,0
"kaleb","chappell",17,1,217.12,63,22,48,4,17,7,10,10,6,16,32,0,23,9,0,0,0,28,7,0,0,0,377.1472,2093.1181,35,0
"kalin","watanabe",12,0,23.5,2,1,2,0,1,0,0,0,0,0,3,0,2,1,0,0,0,3,0,0,0,0,41.9684,1142.9721,22,0
"kaniel","camby",21,1,426.53,179,66,107,7,16,26,35,4,37,56,16,0,18,12,0,0,13,39,38,0,0,0,768.5122,2171.124,33,0
"kawhi","udanoh",20,20,562.08,216,76,149,6,33,46,61,8,23,75,38,0,29,12,0,0,5,60,63,0,0,0,983.3283,1417.0439,33,0
"keifer","barbieri",23,17,450.38,194,44,79,25,70,31,39,7,32,71,16,0,25,10,0,0,5,47,43,0,0,0,804.3851,1786.0356,29,0
"kenan","ticic",10,10,250.97,100,34,57,3,23,23,28,3,24,31,11,0,9,6,0,0,6,29,29,0,0,0,467.2857,903.0305,27,0
"kenneth","farrakhan",12,7,178.93,35,13,31,0,1,9,10,4,16,27,13,0,8,10,0,0,1,30,18,0,0,0,305.4702,2065.7281,32,0
"khalid","madsen",10,2,135.49,24,7,27,2,16,4,8,1,12,13,5,0,2,0,0,0,1,17,6,0,0,0,241.3035,1995.7786,28,0
"khalifa","torres",14,8,269.15,101,35,67,0,2,31,44,7,18,36,27,0,32,8,0,0,15,40,43,0,0,0,477.1072,1143.3556,31,0
"khvostov","dolinin",13,9,202.8,64,17,37,7,25,9,10,1,11,25,9,0,11,4,0,0,9,35,7,0,0,0,358.2042,1130.438,26,0
"kidd","avramovic",22,17,614.84,321,62,109,46,107,59,69,10,9,75,80,0,52,25,0,0,6,54,85,0,0,0,1047.6139,2402.4885,25,1
"killian","bohannon",27,10,463.05,178,56,90,9,43,39,50,5,23,65,27,0,33,25,0,0,3,68,51,0,0,0,843.0711,3281.1655,29,0
"kim","sant-roos",5,4,115.36,26,9,19,1,4,5,7,1,3,5,14,0,9,9,0,0,0,12,10,0,0,0,201.1573,444.6421,27,0
"kingsley","mccray",1,0,18.38,0,0,2,0,1,0,0,1,0,3,1,0,3,0,0,0,0,3,0,0,0,0,32.6332,1136.2959,28,0
"kinsey","babb",16,15,408,147,37,74,17,44,22,27,5,7,49,8,0,23,4,0,0,1,40,23,0,0,0,717.6752,2058.0392,31,0
"kira","pavlovic",10,7,267.93,127,42,80,6,24,25,31,12,2,17,32,0,18,15,0,0,0,26,31,0,0,0,483.0924,721.2362,28,0
"kirk","rochestie",12,5,339.99,175,45,90,15,53,40,54,9,15,36,60,0,29,17,0,0,0,15,60,0,0,0,586.5352,1138.5949,30,0
"kleiza","maric",24,9,403.12,131,38,79,8,30,31,49,0,8,35,44,0,36,12,0,0,1,54,43,0,0,0,714.0452,2152.1399,24,0
"kljajic","knudsen",6,2,108.48,37,10,23,1,3,14,18,2,3,15,1,0,6,4,0,0,3,14,16,0,0,0,184.1051,415.7945,33,0
"knight","trimble",1,0,1.82,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3.2238,2152.1399,18,1
"kobi","angley",4,2,85,35,9,28,2,10,11,16,1,3,9,5,0,6,2,0,0,0,11,16,0,0,0,163.3572,2315.8284,27,0
"koenig","crescenzi",13,8,314.36,108,37,76,4,18,22,34,6,20,53,10,0,10,9,0,0,3,25,31,0,0,0,543.4124,968.0229,26,0
"konate","bacon",60,41,842.81,448,164,312,1,4,117,142,12,63,124,65,0,105,29,0,0,5,138,162,0,0,0,1561.7651,5136.2406,29,0
"koumadje","wiseman",4,4,112.63,85,23,37,9,22,12,14,2,3,12,5,0,9,6,0,0,0,7,11,0,0,0,201.1588,1786.0356,29,0
"kouroupakis","jagodic-kuridza",20,3,246.42,103,41,57,0,0,21,31,2,18,40,7,0,19,4,0,0,11,46,37,0,0,0,457.9727,6013.0902,33,0
"krause","hammons",7,7,198.6,80,21,43,8,32,14,16,1,9,19,13,0,17,7,0,0,4,16,22,0,0,0,327.7423,660.092,25,0
"kristaps","lucas",2,2,47,12,6,10,0,0,0,3,0,5,7,2,0,2,1,0,0,0,6,6,0,0,0,83.7104,569.943,30,0
"kurucs","humphrey",27,19,525.67,130,30,51,18,69,16,20,4,25,69,19,0,33,16,0,0,22,58,25,0,0,0,954.3156,2114.9654,30,0
"kuzminskas","ventura",13,4,314.68,157,46,77,5,16,50,70,9,33,50,15,0,18,6,0,0,30,47,57,0,0,0,548.3465,2091.0703,20,1
"kwame","martyuk",16,10,437.07,172,53,126,11,34,33,42,8,9,20,17,0,29,18,0,0,1,39,37,0,0,0,768.5797,2400.3174,31,0
"kyzlink","smart",20,18,545,191,34,77,36,101,15,18,4,13,34,20,0,36,10,0,0,1,57,24,0,0,0,1010.6341,2253.0651,25,0
"labeyrie","jeffers",9,1,142.94,43,12,27,2,9,13,17,1,4,17,5,0,7,3,0,0,0,15,14,0,0,0,241.0875,683.1005,27,0
"ladontae","barnes",10,4,197.84,112,51,71,0,0,10,21,3,22,43,3,0,15,4,0,0,11,23,15,0,0,0,356.813,721.3994,20,1
"lamelo","umrikhin",30,26,939,433,106,233,57,162,50,65,14,22,106,63,0,58,27,0,0,22,77,65,0,0,0,1707.2365,2199.9534,25,1
"lampe","borg",16,3,105.27,25,7,12,3,9,2,4,0,3,19,6,0,8,4,0,0,2,19,4,0,0,0,187.8505,2578.5542,36,0
"laquintana","wooten",4,0,62.48,35,5,8,6,18,7,8,0,0,4,5,0,4,2,0,0,0,9,4,0,0,0,114.1219,2529.7114,33,0
"lauvergne","van",41,22,915.82,495,90,189,77,186,84,104,10,9,64,92,0,68,41,0,0,3,110,118,0,0,0,1602.4592,4241.6615,27,0
"lavoy","lazic",15,4,79.24,23,9,17,0,0,5,13,0,5,13,1,0,0,3,0,0,1,19,9,0,0,0,145.8791,2595.4698,30,0
"lawrence","vasturia",17,3,357.45,105,21,54,12,35,27,31,4,9,31,19,0,23,10,0,0,0,33,22,0,0,0,639.2678,2324.8888,26,0
"leandro","paunic",10,3,220.59,94,33,67,0,0,28,39,3,31,63,19,0,17,7,0,0,7,37,39,0,0,0,397.7358,721.2362,27,0
"ledo","dary-sagnes",26,15,551.94,248,48,92,43,108,23,28,11,3,39,43,0,27,24,0,0,7,48,41,0,0,0,962.7721,2101.9355,32,0
"leonardo","diaz",6,2,67.56,28,8,18,0,0,12,20,3,7,16,5,0,3,0,0,0,3,11,13,0,0,0,126.5445,449.5364,37,0
"lessort","benimon",56,27,1084.15,585,203,376,15,36,134,174,13,79,158,72,0,103,55,0,0,28,148,177,0,0,0,1985.0646,4489.7492,29,0
"lindsey","garbajosa",24,24,744,280,71,151,25,85,63,81,8,33,90,24,0,60,16,0,0,6,52,69,0,0,0,1369.8058,2218.5699,30,0
"lipkevicius","de",4,0,35.47,20,4,6,0,6,12,12,0,0,0,0,0,4,1,0,0,0,7,10,0,0,0,65.8016,753.1961,28,0
"liraz","sexton",27,19,570.98,245,83,146,15,48,34,39,7,42,59,17,0,30,11,0,0,18,50,37,0,0,0,988.8445,1948.3137,27,0
"lonnie","dalembert",28,9,829,442,88,152,54,147,104,126,8,22,186,96,0,91,26,0,0,6,67,136,0,0,0,1519.3685,2217.6549,32,0
"lonzo","ruzzier",23,19,562.29,255,81,167,13,37,54,65,10,9,58,126,0,63,14,0,0,0,34,56,0,0,0,1038.1234,3882.1588,32,0
"lorenzo","odinokov",6,6,211.99,76,18,40,10,31,10,11,2,3,22,28,0,29,5,0,0,0,9,19,0,0,0,370.5972,419.5533,29,0
"luc","bonacini",12,7,187.89,73,29,43,0,0,15,20,2,12,27,8,0,17,3,0,0,4,25,15,0,0,0,328.66,1128.2401,29,0
